bookID,title,authors,isbn,isbn13
17319,The Oath (Dismas Hardy  #8),John Lescroart,451207645,9780451207647
17320,Wind Rider's Oath (War God  #3),David Weber,1416508953,9781416508953
17323,A Visitation of Spirits,Randall Kenan,375703977,9780375703973
17328,Open My Eyes  Lord: A Practical Guide to Angelic Visitations and Heavenly Experiences,Gary Oates/Robert Paul Lamb/Randy Clark,975262203,9780975262207
17334,The Complete C.S. Lewis Signature Classics,C.S. Lewis,61208493,9780061208492
17341,The Collected Letters of C.S. Lewis  Volume 3: Narnia  Cambridge  and Joy  1950 - 1963,C.S. Lewis/Walter Hooper,60819227,9780060819224
17344,Till We Have Faces: A Myth Retold,C.S. Lewis/Nadia May,786198389,9780786198382
17349,The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan/Ann Druyan,345409469,9780345409461
17352,Stephen Hawking's a Brief History of Time: A Reader's Companion,Stephen Hawking/Gene  Stone,553077724,9780553077728
17355,The Illustrated A Brief History of Time,Stephen Hawking,593040597,9780593040591
17356,Brevísima historia del tiempo,Stephen Hawking/Leonard Mlodinow/David Jou i Mirabent,8484326373,9788484326373
17360,A First Course in String Theory,Barton Zwiebach,521831431,9780521831437
17362,Black Holes & Time Warps: Einstein's Outrageous Legacy,Kip S. Thorne/Stephen Hawking/Frederick Seitz,393312763,9780393312768
17364,Surely You're Joking  Mr. Feynman!,Richard P. Feynman,009917331X,9780099173311
17366,Surely You're Joking  Mr. Feynman!: Adventures of a Curious Character,Richard P. Feynman/Raymond Todd,786177284,9780786177288
17375,The Meaning of It All: Thoughts of a Citizen-Scientist,Richard P. Feynman,465023940,9780465023943
17384,Amor Y Respeto/love And Respect: El Respeto Que El Desesperadamente Necesita/ The Love She Most Desires And The Respect He Desperately Needs,Emerson Eggerichs,1591855101,9781591855101
17412,Chemistry: The Central Science,Theodore L. Brown/H. Eugene LeMay Jr./Bruce E. Bursten,130669970,9780130669971
17426,Introduction to Linear Algebra and Differential Equations,John W. Dettman,486651916,9780486651910
